"","file_Id","Joy","Anger","Surprise","Fear","Disgust","Sadness","Contempt","Neutral"
"61","raw_data/north_europ_M02_Surprise_Face_Forward",0,0,81.33,0.67,0,0,0,19.33
"62","raw_data/north_europ_M02_Sadness_Face_Forward",0,25.53,0,0,0,7.09,0,85.11
"63","raw_data/north_europ_M02_Pride_Face_Forward",72.34,0,0,0,0,0,12.06,29.08
"64","raw_data/north_europ_M02_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"65","raw_data/north_europ_M02_Joy_Face_Forward",80.67,0,0,0,0,0,0.67,19.33
"66","raw_data/north_europ_M02_Fear_Face_Forward",0,0,80.67,81.33,0,0,0,19.33
"67","raw_data/north_europ_M02_Embarrass_Face_Forward",0,14.67,0,0,0,0,78.67,97.33
"68","raw_data/north_europ_M02_Disgust_Face_Forward",0,2,0,0,79.33,0,0,22
"69","raw_data/north_europ_M02_Contempt_Face_Forward",0,0,0,0,0,0,79.33,22
"70","raw_data/north_europ_M02_Anger_Face_Forward",0,80,0,0,0,0,0,22
"71","raw_data/north_europ_F05_Surprise_Face_Forward",0,0,80.67,6,0,0,0,23.33
"72","raw_data/north_europ_F05_Sadness_Face_Forward",0,0,0,35.33,70,49.33,0,35.33
"73","raw_data/north_europ_F05_Pride_Face_Forward",78,0,0,0,49.33,0,0.67,22
"74","raw_data/north_europ_F05_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"75","raw_data/north_europ_F05_Joy_Face_Forward",78.67,0,0,0,0,0,0,20.67
"76","raw_data/north_europ_F05_Fear_Face_Forward",0,0,8.67,76.67,0,0,0,22.67
"77","raw_data/north_europ_F05_Embarrass_Face_Forward",48.67,0,0,0,0,0,1.33,20.67
"78","raw_data/north_europ_F05_Disgust_Face_Forward",0,0,0,0,83.33,0,0,20.67
"79","raw_data/north_europ_F05_Contempt_Face_Forward",0,0,0,0,0,0,65.33,39.33
"80","raw_data/north_europ_F05_Anger_Face_Forward",0,78.67,0,0,0,0,0,25.33
"81","raw_data/north_europ_F04_Surprise_Face_Forward",0,0,80.65,34.19,0,0,0,21.29
"82","raw_data/north_europ_F04_Sadness_Face_Forward",0,36,0,0,0,71.33,0,35.33
"83","raw_data/north_europ_F04_Pride_Face_Forward",74.19,0,0,0,0,0,12.9,29.03
"84","raw_data/north_europ_F04_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"85","raw_data/north_europ_F04_Joy_Face_Forward",74.67,0,0,0,0,0,4.67,27.33
"86","raw_data/north_europ_F04_Fear_Face_Forward",0,0,17.33,82,0,0,0,18.67
"87","raw_data/north_europ_F04_Embarrass_Face_Forward",2,0,0,0,0,0,77.33,100
"88","raw_data/north_europ_F04_Disgust_Face_Forward",0,0,0,0,81.33,0,0,20
"89","raw_data/north_europ_F04_Contempt_Face_Forward",0,0,0,0,0,0,80.92,21.05
"90","raw_data/north_europ_F04_Anger_Face_Forward",0,82,0,0,0,0,0,18.67
"91","raw_data/north_europ_F03_Surprise_Face_Forward",0,0,92,20,0,0,0,19.33
"92","raw_data/north_europ_F03_Sadness_Face_Forward",0,8,0,6,42,73.33,0,30
"93","raw_data/north_europ_F03_Pride_Face_Forward",70.67,0,0,7.33,0,0,2.67,30
"94","raw_data/north_europ_F03_Neutral_Face_Forward",0,0,0,14.67,0,0,0,100
"95","raw_data/north_europ_F03_Joy_Face_Forward",80,0,0,18,0,0,0.67,20
"96","raw_data/north_europ_F03_Fear_Face_Forward",0,0,80,100,0,0,0,18.67
"97","raw_data/north_europ_F03_Embarrass_Face_Forward",72.67,0,0,0,0,0,42,24
"98","raw_data/north_europ_F03_Disgust_Face_Forward",0,2,0,0,78.67,0,0,22
"99","raw_data/north_europ_F03_Contempt_Face_Forward",0,0,3.33,4.67,0,0,77.33,22.67
"100","raw_data/north_europ_F03_Anger_Face_Forward",0,76.67,0,1.33,0,0,0,25.33
"101","raw_data/north_europ_F02_Surprise_Face_Forward",0,0,81.33,4,0,0,0,18.67
"102","raw_data/north_europ_F02_Sadness_Face_Forward",0,0,0,0,0,74,0,26
"103","raw_data/north_europ_F02_Pride_Face_Forward",82,0,0,0,0,0,63.33,18.67
"104","raw_data/north_europ_F02_Neutral_Face_Forward",0,0,0,0,0,0,64.67,100
"105","raw_data/north_europ_F02_Joy_Face_Forward",82,0,0,0,0,0,4,18
"106","raw_data/north_europ_F02_Fear_Face_Forward",0,0,0,82.67,0,0,0,18.67
"107","raw_data/north_europ_F02_Embarrass_Face_Forward",68,36,0,0,0,0,70.67,19.33
"108","raw_data/north_europ_F02_Disgust_Face_Forward",0,4.67,0,0.67,81.33,0,0,19.33
"109","raw_data/north_europ_F02_Contempt_Face_Forward",0,0,0,0,0,0,100,17.33
"110","raw_data/north_europ_F02_Anger_Face_Forward",0,80.67,0,0,0,0,0,19.33
"111","raw_data/north_europ_F01_Surprise_Face_Forward",0,0,80,0.67,0,0,0,20.67
"112","raw_data/north_europ_F01_Sadness_Face_Forward",0,0,0,0,78,80,0,21.33
"113","raw_data/north_europ_F01_Pride_Face_Forward",80.67,0,0,0,0,0,0.67,21.33
"114","raw_data/north_europ_F01_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"115","raw_data/north_europ_F01_Joy_Face_Forward",80,0,0,0,0,0,0,20.67
"116","raw_data/north_europ_F01_Fear_Face_Forward",0,0,80,80,0,0,0,27.33
"117","raw_data/north_europ_F01_Embarrass_Face_Forward",67.33,0,0,0,0,0,66.67,24
"118","raw_data/north_europ_F01_Disgust_Face_Forward",0,0,0,0,82,0,0,18.67
"119","raw_data/north_europ_F01_Contempt_Face_Forward",0,0,0,0,0,0,78.67,25.33
"120","raw_data/north_europ_F01_Anger_Face_Forward",0,81.33,0,3.33,0,0,0,20
"121","raw_data/medit_M10_Surprise_Face_Forward",0,0,84.67,14,0,0,0,17.33
"122","raw_data/medit_M10_Sadness_Face_Forward",0,0,0,94,0,81.33,0,18
"123","raw_data/medit_M10_Pride_Face_Forward",28.67,0,0,33.33,0,0,77.33,94
"124","raw_data/medit_M10_Neutral_Face_Forward",0,0,0,24,0,0,0,100
"125","raw_data/medit_M10_Joy_Face_Forward",82.67,0,0,3.33,0,0,0.67,17.33
"126","raw_data/medit_M10_Fear_Face_Forward",0,0,91.49,100,0,0,0,18.44
"127","raw_data/medit_M10_Embarrass_Face_Forward",17.33,1.33,0,0,0,0,78,60
"128","raw_data/medit_M10_Disgust_Face_Forward",0,0,4,2.67,82.67,0,0,17.33
"129","raw_data/medit_M10_Contempt_Face_Forward",0,0,0,2,0,0,84,18
"130","raw_data/medit_M10_Anger_Face_Forward",0,82,0,0.67,0,0,0,18.67
"131","raw_data/medit_M09_Surprise_Face_Forward",0,0,84,74.67,0,2.67,0,47.33
"132","raw_data/medit_M09_Sadness_Face_Forward",0,0,0,0,0,70,0,31.33
"133","raw_data/medit_M09_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"134","raw_data/medit_M09_Joy_Face_Forward",83.33,0,0,0,0,0,8.67,17.33
"135","raw_data/medit_M09_Fear_Face_Forward",0,0,0,82,0,0,2,18
"136","raw_data/medit_M09_Embarrass_Face_Forward",0,0,0,0,0,0,72.67,34
"137","raw_data/medit_M09_Disgust_Face_Forward",0,0,0,0,82,0,0,18.67
"138","raw_data/medit_M09_Contempt_Face_Forward",0,0,0,0,0,0,83.33,17.33
"139","raw_data/medit_M09_Anger_Face_Forward",0,80.67,0,0,0,0,0,32.67
"140","raw_data/medit_M07_Surprise_Face_Forward",0,0,82,82.67,0,0,0.67,37.33
"141","raw_data/medit_M07_Sadness_Face_Forward",0,0,0,12,0,38.67,0,56
"142","raw_data/medit_M07_Pride_Face_Forward",74.47,0,0,4.96,0,0,31.21,25.53
"143","raw_data/medit_M07_Neutral_Face_Forward",0,0,0,0,0,0,92,100
"144","raw_data/medit_M07_Joy_Face_Forward",92,0,0,0,0,0,17.33,17.33
"145","raw_data/medit_M07_Fear_Face_Forward",0,0,2.67,82.67,0,0,0,18
"146","raw_data/medit_M07_Embarrass_Face_Forward",82.67,0,0,0,0,0,84,18
"147","raw_data/medit_M07_Disgust_Face_Forward",0,0,0,0,82,0,0,19.33
"148","raw_data/medit_M07_Contempt_Face_Forward",0,0,0,0,0,0,100,19.15
"149","raw_data/medit_M07_Anger_Face_Forward",0,80,0,0,0,0,17.33,19.33
"150","raw_data/medit_M05_Surprise_Face_Forward",0,0,82.67,0,0,17.33,0,18
"151","raw_data/medit_M05_Sadness_Face_Forward",0,0,0,0,0,100,0,16.67
"152","raw_data/medit_M05_Pride_Face_Forward",81.33,0,0,0,0,18,3.33,18.67
"153","raw_data/medit_M05_Neutral_Face_Forward",0,0,7.33,0,0,0.67,0,100
"154","raw_data/medit_M05_Joy_Face_Forward",80.67,0,16.67,0,0,0,0,18.67
"155","raw_data/medit_M05_Fear_Face_Forward",0,0,0.67,81.33,0,45.33,0,17.33
"156","raw_data/medit_M05_Embarrass_Face_Forward",0,6,0,0,0,60.67,2.67,27.33
"157","raw_data/medit_M05_Disgust_Face_Forward",0,0,0,0,78,24.67,0,16.67
"158","raw_data/medit_M05_Contempt_Face_Forward",0,0,0,0,0,30.67,82.67,17.33
"159","raw_data/medit_M05_Anger_Face_Forward",0,80.85,0,0,0,3.55,0,19.15
"160","raw_data/medit_M01_Surprise_Face_Forward",0,0,100,0,0,0,0,17.33
"161","raw_data/medit_M01_Sadness_Face_Forward",0,0,34.67,40,0,78.67,0,35.33
"162","raw_data/medit_M01_Pride_Face_Forward",0,0,99.33,0,0,0,47.33,100
"163","raw_data/medit_M01_Neutral_Face_Forward",0,0,97.33,0,0,0,0,100
"164","raw_data/medit_M01_Joy_Face_Forward",80,0,18,0,0,0,4,20.67
"165","raw_data/medit_M01_Fear_Face_Forward",0,0,100,2,0,0,0,19.33
"166","raw_data/medit_M01_Embarrass_Face_Forward",0,0,18,0,0,0,81.33,100
"167","raw_data/medit_M01_Disgust_Face_Forward",0,0,24.67,0,77.33,0,0,43.33
"168","raw_data/medit_M01_Contempt_Face_Forward",0,0,70,20,0,19.33,76,62.67
"169","raw_data/medit_M01_Anger_Face_Forward",0,80,20.67,0,0,0,0,22
"170","raw_data/medit_F10_Sadness_Face_Forward",0,0,0,0,0,83.33,0,17.33
"171","raw_data/medit_F10_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"172","raw_data/medit_F10_Joy_Face_Forward",82,0,0,0,0,0,2.67,18.67
"173","raw_data/medit_F10_Fear_Face_Forward",0,0,0,82.67,0,3.33,0,18
"174","raw_data/medit_F10_Disgust_Face_Forward",0,0,0.67,0,83.33,0,0,17.33
"175","raw_data/medit_F10_Contempt_Face_Forward",0,0,0,0,0,2.67,82,23.33
"176","raw_data/medit_F10_Anger_Face_Forward",0,78.67,0,0,0,5.33,0,22
"177","raw_data/medit_F09_Surprise_Face_Forward",0,0,78.67,100,0,0,0,20
"178","raw_data/medit_F09_Sadness_Face_Forward",0,0,0,45.81,0,84.52,0,21.94
"179","raw_data/medit_F09_Pride_Face_Forward",83.33,0,0,17.33,0,0,20.67,18
"180","raw_data/medit_F09_Neutral_Face_Forward",0,0,0,94.67,0,0,98.67,100
"181","raw_data/medit_F09_Joy_Face_Forward",87.33,0,0,11.33,0,0,15.33,14
"182","raw_data/medit_F09_Fear_Face_Forward",0,0,14.67,100,0,0,0,19.33
"183","raw_data/medit_F09_Embarrass_Face_Forward",0.67,0,0,36,0,0,82.67,90
"184","raw_data/medit_F09_Disgust_Face_Forward",0,1.33,0,10.67,80,0,1.33,19.33
"185","raw_data/medit_F09_Contempt_Face_Forward",0,0,0,8,0,0,95.33,19.33
"186","raw_data/medit_F09_Anger_Face_Forward",0,79.33,0,15.33,0,0,1.33,20.67
"187","raw_data/medit_F08_Surprise_Face_Forward",0,0,82,0,0,0,0,18
"188","raw_data/medit_F08_Sadness_Face_Forward",0,0,0,0,0,83.33,0,18
"189","raw_data/medit_F08_Pride_Face_Forward",77.33,0,0,20.67,0,0,2,19.33
"190","raw_data/medit_F08_Neutral_Face_Forward",0,0,0,0,0,0,100,100
"191","raw_data/medit_F08_Joy_Face_Forward",83.33,0,0,0,0,0,16.67,17.33
"192","raw_data/medit_F08_Fear_Face_Forward",0,0,0,83.33,0,0,0,17.33
"193","raw_data/medit_F08_Embarrass_Face_Forward",0,0,0,0,0,0,82.67,100
"194","raw_data/medit_F08_Disgust_Face_Forward",0,0,0,0,82.67,0,0,18
"195","raw_data/medit_F08_Contempt_Face_Forward",0,0,0,54.67,0,0,83.33,59.33
"196","raw_data/medit_F08_Anger_Face_Forward",0,76.77,0,0,0,0,0,24.52
"197","raw_data/medit_F07_Surprise_Face_Forward",0,0,75.33,89.33,0,0,0,20.67
"198","raw_data/medit_F07_Sadness_Face_Forward",0,0,0,52,0,83.33,0,16.67
"199","raw_data/medit_F07_Pride_Face_Forward",NA,NA,NA,NA,NA,NA,NA,NA
"200","raw_data/medit_F07_Neutral_Face_Forward",0,0,0,84.67,0,0,4,13.33
"201","raw_data/medit_F07_Joy_Face_Forward",80.67,0,0,24.67,0,0,0,0
"202","raw_data/medit_F07_Fear_Face_Forward",0,0,6,96,0,6.67,0,22
"203","raw_data/medit_F07_Embarrass_Face_Forward",80.67,0,0,21.33,0,0,0,16.67
"204","raw_data/medit_F07_Disgust_Face_Forward",0,0,0,16.67,82.67,0,0,14
"205","raw_data/medit_F07_Contempt_Face_Forward",0,0,0,60.99,0,2.13,76.6,34.75
"206","raw_data/medit_F07_Anger_Face_Forward",0,75.33,0,36,0,1.33,0,2
"207","raw_data/medit_F06_Surprise_Face_Forward",0,0,80.67,63.33,0,0,0,20
"208","raw_data/medit_F06_Sadness_Face_Forward",0,60.67,0,0,0,81.33,0,24.67
"209","raw_data/medit_F06_Pride_Face_Forward",82,0,0,0,0,0,25.33,18
"210","raw_data/medit_F06_Neutral_Face_Forward",0,0,0,0,0,0,0,100
"211","raw_data/medit_F06_Joy_Face_Forward",83.33,0,0,0,0,0,1.33,17.33
"212","raw_data/medit_F06_Fear_Face_Forward",0,0,79.33,82,0,0,0,18
"213","raw_data/medit_F06_Embarrass_Face_Forward",20.67,0,0,44.67,0,0,24.67,74.67
"214","raw_data/medit_F06_Disgust_Face_Forward",0,0.67,0,0,82,0,0,18
"215","raw_data/medit_F06_Contempt_Face_Forward",0,0,0,0,0,0,82,48.67
"216","raw_data/medit_F06_Anger_Face_Forward",0,83.33,0,0,0,0,0,18
